Sr. No.,Phase,Fluid,Sand presence,MOC,Condition,Pipe NB,Vmax,Vmax_1,Vmin,ΔP criteria,ρV2 criteria,Mach no. criteria,Max. allowed back pressure,Referred standard,Remarks
1,single phase,liquid,no/na,na,pressurized service,NA,15 ft/s,4.6 m/s,NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
2,single phase,liquid,yes,na,pressurized service,NA,NA,NA,0.9 m/s,NA,NA,NA,NA,"API 14E, 5th Edition",NA
3,single phase,liquid,no/na,na,reciprocating pump (≤ 250 rpm) suction,NA,2 ft/s (typical flow velocities),0.6 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
4,single phase,liquid,no/na,na,reciprocating pump (251 - 330 rpm) suction,NA,1.5 ft/s (typical flow velocities),0.5 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
5,single phase,liquid,no/na,na,reciprocating pump (> 330 rpm) suction,NA,1 ft/s (typical flow velocities),0.3 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
6,single phase,liquid,no/na,na,centrifugal pump suction,NA,3 ft/s (typical flow velocities),0.9 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
7,single phase,liquid,no/na,na,reciprocating pump (≤ 250 rpm) discharge,NA,6 ft/s (typical flow velocities),1.8 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
8,single phase,liquid,no/na,na,reciprocating pump (251 - 330 rpm) discharge,NA,4.5 ft/s (typical flow velocities),1.4 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
9,single phase,liquid,no/na,na,reciprocating pump (> 330 rpm) discharge,NA,3 ft/s (typical flow velocities),0.9 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
10,single phase,liquid,no/na,na,centrifugal pump discharge,NA,9 ft/s (typical flow velocities),2.7 m/s (typical flow velocities),NA,NA,NA,NA,NA,"API 14E, 5th Edition",NA
11,single phase,gas,no/na,na,pressurized service,NA,60 ft/s,18.3 m/s,NA,NA,NA,NA,NA,"API 14E, 5th Edition",Velocity criteria (< 60 ft/s) should not be interpreted as an absolute criteria
